FOODID	ORIGFDNM	ENGFDNAM	LANGUALCODES	REMARKS
50-085	Smacks	Smacks	A0692 A0816 B1312 C0155 E0147 F0014 G0003 H0136 H0138 H0181 H0194 H0216 H0309 H0310 H0311 J0116 K0003 M0155 N0001 P0024 R0001	
17-096	Smartie-type sweets	Smartie-type sweets	A0698 A0839 B1012 C0108 E0147 F0014 G0003 H0150 H0221 H0354 J0001 K0003 M0173 N0001 P0024 R0001	
12-129	Smatana	Smatana		
17-549	Snickers	Snickers	A0698 A0839 B1012 C0108 E0147 F0014 G0003 H0124 H0221 H0231 H0297 H0355 J0001 K0003 M0173 N0001 P0024 R0001	
11-631	Soda Bread	Soda Bread		
17-182	Soda, club	Soda, club		
17-183	Soda, cream	Soda, cream		
12-393	Sorbet, fruit	Sorbet, fruit	A0708 A0864 B1140 C0167 E0151 F0003 G0003 H0136 H0148 H0227 J0136 K0003 M0172 N0001 P0024 R0001	
12-934	Souffle, cheese	Souffle, cheese		
12-933	Souffle, plain	Souffle, plain		
17-265	Soup, low calorie, canned	Soup, low calorie, canned	A0722 A0865 B1579 C0174 E0109 F0014 G0003 H0117 H0148 H0150 H0152 H0297 H0334 J0123 K0003 M0204 N0001 P0024	
17-334	Soy sauce	Soy sauce	A0722 A0858 B1452 C0158 E0130 F0014 G0003 H0136 H0152 H0230 J0001 K0003 M0001 N0001 P0024 R0001	
13-116	Soya beans, dried, boiled in unsalted water	Soya beans, dried, boiled in unsalted water	A0704 A0831 B1452 C0133 E0150 F0014 G0015 H0148 H0259 J0116 K0003 M0001 N0001 P0024 P0078	
13-115	Soya beans, dried, raw	Soya beans, dried, raw	A0704 A0831 B1452 C0133 E0150 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024	
12-899	Soya dessert topping	Soya dessert topping		
11-025	Soya flour, full fat	Soya flour, full fat	A0693 A0813 B1452 C0236 E0106 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024 R0001	
11-026	Soya flour, low fat	Soya flour, low fat	A0693 A0813 B1452 C0236 E0106 F0001 G0003 H0138 H0247 J0116 K0003 M0001 N0001 P0024 P0039 R0001	
15-314	Soya mince, granules	Soya mince, granules		
17-044	Soya oil	Soya oil	A0700 A0806 B1452 C0190 E0139 F0014 G0003 H0197 H0206 J0003 K0003 M0001 N0001 P0024	
12-381	Soya, alternative to yogurt, fruit	Soya, alternative to yogurt, fruit	A0721 A0788 B1452 C0133 E0119 F0001 G0003 H0136 H0147 J0001 K0003 M0001 N0001 P0024	
12-330	Soya, non-dairy alternative to milk, sweetened, calcium enriched	Soya, non-dairy alternative to milk, sweetened, calcium enriched	A0719 A0788 B1452 C0133 E0123 F0014 G0003 H0162 H0194 H0362 J0001 K0003 M0001 N0001 P0024	
12-331	Soya, non-dairy alternative to milk, unsweetened	Soya, non-dairy alternative to milk, unsweetened	A0719 A0788 B1452 C0133 E0123 F0014 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
19-425	Spaghetti bolognese	Spaghetti bolognese		
19-328	Spaghetti bolognese, chilled/frozen, reheated	Spaghetti bolognese, chilled/frozen, reheated	A0714 A0799 B1161 C0268 E0110 F0014 G0037 H0151 H0212 H0241 J0142 K0003 M0001 N0001 P0024 R0001 Z0112	
19-353	Spaghetti bolognese, chilled/frozen, reheated, with spaghetti	Spaghetti bolognese, chilled/frozen, reheated, with spaghetti	A0714 A0799 B1312 C0155 E0108 F0014 G0037 H0151 H0191 H0212 H0241 J0142 K0003 M0001 N0001 P0024 R0001 Z0112	
11-356	Spaghetti, canned in bolognese sauce	Spaghetti, canned in bolognese sauce		
11-357	Spaghetti, canned in tomato sauce	Spaghetti, canned in tomato sauce	A0694 A0815 B1079 C0132 E0153 F0014 G0003 H0259 J0123 K0037 M0204 N0051 P0024 R0001 Z0112	
11-453	Spaghetti, white, boiled	Spaghetti, white, boiled	A0694 A0815 B1079 C0132 E0153 F0014 G0015 H0259 J0001 K0003 M0001 N0001 P0024 R0001	
11-452	Spaghetti, white, raw	Spaghetti, white, raw	A0694 A0815 B1079 C0132 E0153 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024 R0001	
11-455	Spaghetti, wholemeal, boiled	Spaghetti, wholemeal, boiled	A0694 A0815 B1079 C0133 E0153 F0014 G0015 H0259 J0001 K0003 M0001 N0001 P0024 R0001	
11-454	Spaghetti, wholemeal, raw	Spaghetti, wholemeal, raw	A0694 A0815 B1079 C0133 E0153 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024 R0001	
11-501	Special K	Special K	A0692 A0816 B1322 C0155 E0140 F0014 G0003 H0138 H0181 H0194 H0214 H0215 H0216 H0309 H0310 H0311 H0319 J0116 K0003 M0155 N0001 P0024 R0001	
13-479	Spinach, boiled in salted water	Spinach, boiled in salted water	A0705 A0826 B1420 C0200 E0150 F0014 G0015 H0003 J0001 K0003 M0001 N0001 P0024	
13-457	Spinach, boiled in unsalted water	Spinach, boiled in unsalted water	A0705 A0826 B1420 C0200 E0150 F0014 G0015 H0003 J0001 K0003 M0001 N0001 P0024 P0078	
13-347	Spinach, canned, drained	Spinach, canned, drained		
17-417	Spinach, dried	Spinach, dried		
13-458	Spinach, frozen, boiled in unsalted water	Spinach, frozen, boiled in unsalted water	A0705 A0826 B1420 C0200 E0150 F0014 G0015 H0241 J0136 K0003 M0001 N0001 P0024 P0078	
13-456	Spinach, raw	Spinach, raw	A0705 A0826 B1420 C0200 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
17-246	Spirits, 37.5% volume	Spirits, 37.5% volume	A0713 A0850 B1324 C0133 E0123 F0014 G0003 H0253 H0256 H0270 J0001 K0003 M0214 N0001 P0024	
17-247	Spirits, 40% volume	Spirits, 40% volume	A0713 A0850 B1324 C0133 E0123 F0014 G0003 H0253 H0256 H0270 J0001 K0003 M0214 N0001 P0024	
13-142	Split peas, dried, boiled in unsalted water	Split peas, dried, boiled in unsalted water		
13-141	Split peas, dried, raw	Split peas, dried, raw	A0704 A0831 B1001 C0133 E0150 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024 Z0052	
11-580	Sponge cake	Sponge cake	A0695 A0821 B1312 C0132 E0105 F0014 G0003 H0158 H0186 H0272 H0351 J0003 K0003 M0001 N0001 P0024 R0001	
11-647	Sponge cake with butter icing	Sponge cake with butter icing		
11-422	Sponge cake, butter cream, filling, retail	Sponge cake, butter cream, filling, retail	A0695 A0821 B1312 C0132 E0105 F0014 G0003 H0158 H0186 H0272 H0351 J0003 K0003 M0001 N0001 P0024 R0001 Z0112	
11-581	Sponge cake, fatless	Sponge cake, fatless	A0695 A0821 B1457 C0225 E0105 F0014 G0003 H0158 H0319 J0003 K0003 M0001 N0001 P0024 R0001	
11-213	Sponge cake, jam filled	Sponge cake, jam filled	A0695 A0821 B1312 C0132 E0147 F0014 G0003 H0122 H0158 H0186 H0221 H0351 J0001 K0003 M0001 N0001 P0024 R0001	
11-532	Sponge cake, with dairy cream and jam	Sponge cake, with dairy cream and jam	A0695 A0821 B1201 C0195 E0147 F0014 G0003 H0122 H0150 H0158 H0186 H0221 H0241 H0319 H0351 J0136 K0003 M0001 N0001 P0024 R0001	
11-706	Sponge pudding	Sponge pudding		
11-549	Sponge pudding, canned	Sponge pudding, canned	A0695 A0864 B1312 C0132 E0147 F0014 G0001 H0186 H0221 H0280 H0751 J0001 K0003 M0204 N0001 P0024 R0001 Z0112	
11-707	Sponge pudding, with dried fruit	Sponge pudding, with dried fruit		
11-708	Sponge pudding, with jam or treacle	Sponge pudding, with jam or treacle		
11-709	Spotted dick	Spotted dick		
16-219	Sprats, fried	Sprats, fried		
16-220	Sprats, fried, weighed with bones	Sprats, fried, weighed with bones		
16-218	Sprats, raw	Sprats, raw	A0717 A0802 B1235 C0267 E0122 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
13-349	Spring greens, boiled in salted water	Spring greens, boiled in salted water	A0705 A0826 B1406 C0151 E0150 F0014 G0015 H0003 J0001 K0003 M0001 N0001 P0024	
13-350	Spring greens, boiled in unsalted water	Spring greens, boiled in unsalted water	A0705 A0826 B1406 C0151 E0150 F0014 G0015 H0003 J0001 K0003 M0001 N0001 P0024 P0078	
13-348	Spring greens, raw	Spring greens, raw	A0705 A0826 B1406 C0151 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
13-352	Spring onions, bulbs and tops, raw	Spring onions, bulbs and tops, raw	A0705 A0826 B1478 C0150 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
13-351	Spring onions, bulbs only, raw	Spring onions, bulbs only, raw	A0705 A0826 B1478 C0290 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
19-327	Spring rolls, meat, takeaway	Spring rolls, meat, takeaway	A0714 A0799 B1134 C0268 E0147 F0014 G0001 H0207 H0227 H0319 J0001 K0003 M0001 N0001 P0024 Z0119	
13-354	Squash, acorn, baked	Squash, acorn, baked		
13-353	Squash, acorn, raw	Squash, acorn, raw		
13-356	Squash, butternut, baked	Squash, butternut, baked		
13-355	Squash, butternut, raw	Squash, butternut, raw		
13-358	Squash, spaghetti, baked	Squash, spaghetti, baked		
13-357	Squash, spaghetti, raw	Squash, spaghetti, raw		
16-267	Squid, dried	Squid, dried		
16-264	Squid, frozen, raw	Squid, frozen, raw	A0717 A0802 B1205 C0103 E0122 F0003 G0003 H0241 J0136 K0003 M0001 N0001 P0024	
16-265	Squid, in batter, fried in blended oil	Squid, in batter, fried in blended oil	A0717 A0803 B1205 C0103 E0122 F0014 G0025 H0188 H0241 H0356 J0136 K0003 M0001 N0001 P0024 Z0119	
16-266	Squid, in batter, fried in sunflower oil	Squid, in batter, fried in sunflower oil	A0717 A0803 B1205 C0103 E0122 F0014 G0025 H0188 H0241 H0356 J0136 K0003 M0001 N0001 P0024 Z0119	
16-263	Squid, raw	Squid, raw	A0717 A0802 B1205 C0103 E0122 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
19-363	Steak and kidney pie, double crust, homemade	Steak and kidney pie, double crust, homemade	A0714 A0799 B1312 C0132 E0147 F0014 G0005 H0191 H0207 H0307 J0003 K0003 M0001 N0001 P0024 Z0109	
19-329	Steak and kidney pie, single crust, homemade	Steak and kidney pie, single crust, homemade	A0714 A0799 B1161 C0268 E0147 F0014 G0005 H0207 H0307 H0319 J0003 K0003 M0001 N0001 P0024 Z0109	
19-072	Steak and kidney pudding, canned	Steak and kidney pudding, canned		
19-364	Steak and kidney pudding, homemade	Steak and kidney pudding, homemade		
19-069	Steak and kidney/Beef pie, individual, chilled/frozen, baked	Steak and kidney/Beef pie, individual, chilled/frozen, baked	A0714 A0799 B1161 C0268 E0147 F0014 G0005 H0207 H0241 H0263 H0307 H0319 J0142 K0003 M0001 N0001 P0024	
19-049	Steaklets, frozen, raw	Steaklets, frozen, raw		
19-152	Stewed steak with gravy, canned	Stewed steak with gravy, canned	A0714 A0799 B1161 C0268 E0152 F0014 G0020 H0001 J0123 K0036 M0204 N0001 P0024 Z0019 Z0112	
17-515	Stock cubes, beef	Stock cubes, beef	A0722 A0856 B0001 C0001 E0136 F0014 G0003 H0117 H0138 J0116 K0003 M0001 N0001 P0024 R0001 Z0090	
17-369	Stock cubes, chicken	Stock cubes, chicken	A0722 A0856 B0001 C0001 E0136 F0014 G0003 H0117 H0138 J0116 K0003 M0001 N0001 P0024 R0001 Z0090	
17-370	Stock cubes, vegetable	Stock cubes, vegetable	A0722 A0856 B0001 C0001 E0136 F0014 G0003 H0117 H0138 J0116 K0003 M0001 N0001 P0024 R0001 Z0090	
50-1101	Stout, bottled	Stout, bottled		
50-1102	Stout, extra	Stout, extra		
17-219	Stout, Guinness	Stout, Guinness	A0711 A0847 B1230 C0102 E0123 F0014 G0003 H0148 H0246 H0253 H0256 H0753 J0104 K0003 M0001 N0001 P0024	
17-220	Stout, Mackeson	Stout, Mackeson		
14-262	Strawberries, canned in syrup	Strawberries, canned in syrup	A0707 A0834 B1393 C0140 E0150 F0014 G0003 H0136 J0123 K0023 M0204 N0001 P0024 Z0220	
14-261	Strawberries, frozen	Strawberries, frozen	A0707 A0833 B1393 C0140 E0150 F0003 G0003 H0241 J0136 K0003 M0001 N0001 P0024	
14-260	Strawberries, raw	Strawberries, raw	A0707 A0833 B1393 C0140 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
11-678	Strawberry tartlets	Strawberry tartlets		
17-221	Strong ale/barley wine	Strong ale/barley wine	A0711 A0847 B1230 C0102 E0123 F0014 G0003 H0148 H0175 H0246 H0253 H0256 H0753 J0001 K0003 M0001 N0001 P0024	
19-437	Stuffed cabbage leaves	Stuffed cabbage leaves		
19-438	Stuffed peppers	Stuffed peppers		
17-371	Stuffing mix, dried	Stuffing mix, dried	A0722 A0856 B1312 C0132 E0147 F0014 G0003 H0138 H0151 H0221 H0349 J0116 K0003 M0001 N0001 P0024 R0001	
17-372	Stuffing mix, dried, made up	Stuffing mix, dried, made up		
11-606	Stuffing, sage and onion	Stuffing, sage and onion	A0722 A0856 B1300 C0290 E0147 F0014 G0001 H0151 H0186 H0272 H0319 J0003 K0003 M0001 N0001 P0024 R0001	
11-710	Suet pudding	Suet pudding		
17-011	Suet, shredded	Suet, shredded	A0702 A0810 B1134 C0253 E0122 F0014 G0003 H0001 J0003 K0003 M0001 N0001 P0024	
17-012	Suet, vegetable	Suet, vegetable	A0701 A0810 B1017 C0190 E0147 F0014 G0003 H0001 J0003 K0003 M0001 N0001 P0024	
11-503	Sugar Puffs	Sugar Puffs	A0692 A0816 B1312 C0155 E0140 F0014 G0003 H0138 H0181 H0194 H0216 H0268 H0309 H0310 H0311 J0116 K0003 M0155 N0001 P0024 R0001	
17-060	Sugar, brown	Sugar, brown	A0697 A0836 B1012 C0156 E0136 F0014 G0003 H0001 J0001 K0003 M0001 N0001 P0024 R0001	
17-061	Sugar, Demerara	Sugar, Demerara	A0697 A0836 B1012 C0156 E0136 F0014 G0003 H0001 J0001 K0003 M0001 N0001 P0024 R0001	
17-062	Sugar, icing	Sugar, icing		
17-063	Sugar, white	Sugar, white	A0697 A0836 B1012 C0157 E0136 F0014 G0003 H0001 J0001 K0003 M0001 N0001 P0024 R0001	
13-144	Sugar-snap peas, boiled in salted water	Sugar-snap peas, boiled in salted water		
13-143	Sugar-snap peas, raw	Sugar-snap peas, raw		
11-504	Sultana Bran	Sultana Bran	A0692 A0816 B1312 C0155 E0104 F0014 G0003 H0136 H0138 H0181 H0194 H0214 H0216 H0309 H0310 H0311 H0318 H0364 J0116 K0003 M0155 N0001 P0024 R0001	
14-263	Sultanas	Sultanas	A0707 A0834 B1072 C0137 E0150 F0003 G0003 H0138 J0141 K0003 M0001 N0001 P0024	
17-045	Sunflower oil	Sunflower oil	A0700 A0806 B1547 C0307 E0139 F0014 G0003 H0197 H0206 J0003 K0003 M0001 N0001 P0024	
14-845	Sunflower seeds	Sunflower seeds	A0703 A0823 B1547 C0132 E0150 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024	
14-846	Sunflower seeds, toasted	Sunflower seeds, toasted	A0703 A0823 B1547 C0132 E0150 F0014 G0010 H0138 J0116 K0003 M0001 N0001 P0024	
17-536	Sunny Delight	Sunny Delight	A0708 A0843 B1140 C0300 E0109 F0001 G0003 H0117 H0136 H0148 H0150 H0163 H0200 H0215 H0216 H0316 J0100 K0003 M0001 N0001 P0024 R0001	
13-360	Swede, boiled in salted water	Swede, boiled in salted water	A0705 A0826 B1413 C0240 E0152 F0014 G0015 H0003 J0001 K0003 M0001 N0001 P0024	
13-361	Swede, boiled in unsalted water	Swede, boiled in unsalted water	A0705 A0826 B1413 C0240 E0152 F0014 G0015 H0003 J0001 K0003 M0001 N0001 P0024 P0078	
13-359	Swede, raw	Swede, raw	A0705 A0826 B1413 C0240 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
19-324	Sweet and sour chicken, takeaway	Sweet and sour chicken, takeaway	A0715 A0799 B1457 C0268 E0110 F0014 G0001 H0227 J0001 K0003 M0001 N0001 P0024 Z0119	
19-349	Sweet and sour pork	Sweet and sour pork	A0714 A0799 B1136 C0268 E0110 F0014 G0020 G0028 G0029 H0100 H0151 H0160 H0186 H0212 H0396 J0003 K0003 M0003 N0001 P0024 R0001	
19-304	Sweet and sour pork, battered, takeaway	Sweet and sour pork, battered, takeaway		
19-427	Sweet and sour pork, made with canned sweet and sour sauce	Sweet and sour pork, made with canned sweet and sour sauce		
19-426	Sweet and sour pork, made with lean pork	Sweet and sour pork, made with lean pork		
17-335	Sweet and sour sauce, canned	Sweet and sour sauce, canned	A0722 A0862 B1012 C0108 E0102 F0014 G0001 H0117 H0180 H0200 J0123 K0003 M0204 N0001 P0024 R0001	
17-336	Sweet and sour sauce, take-away	Sweet and sour sauce, take-away	A0722 A0862 B1012 C0108 E0102 F0014 G0001 H0117 H0180 H0200 J0001 K0003 M0001 N0001 P0024 R0001 Z0119	
15-603	Sweet potato and onion layer	Sweet potato and onion layer		
13-363	Sweet potato, baked	Sweet potato, baked	A0706 A0829 B1106 C0240 E0150 F0014 G0005 H0003 J0001 K0003 M0001 N0001 P0024	
13-464	Sweet potato, boiled in salted water	Sweet potato, boiled in salted water	A0706 A0829 B1106 C0240 E0150 F0014 G0015 H0003 J0001 K0003 M0001 N0001 P0024	
13-463	Sweet potato, raw	Sweet potato, raw	A0706 A0829 B1106 C0240 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
13-365	Sweet potato, steamed	Sweet potato, steamed	A0706 A0829 B1106 C0240 E0150 F0014 G0021 H0003 J0001 K0003 M0001 N0001 P0024	
18-422	Sweetbread, lamb, fried	Sweetbread, lamb, fried	A0716 A0796 B1669 C0273 E0151 F0014 G0024 H0233 J0001 K0003 M0001 N0001 P0024	
18-421	Sweetbread, lamb, raw	Sweetbread, lamb, raw	A0716 A0796 B1669 C0273 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
13-367	Sweetcorn, baby, canned, drained	Sweetcorn, baby, canned, drained	A0705 A0826 B1595 C0242 E0150 F0014 G0003 H0001 J0123 K0011 M0204 N0001 P0024 Z0051 Z0219	
13-366	Sweetcorn, baby, fresh and frozen, boiled in salted water	Sweetcorn, baby, fresh and frozen, boiled in salted water		
17-418	Sweetcorn, dried	Sweetcorn, dried		
13-369	Sweetcorn, kernels, boiled in salted water	Sweetcorn, kernels, boiled in salted water	A0705 A0826 B1595 C0133 E0152 F0014 G0015 H0001 J0001 K0003 M0001 N0001 P0024	
13-370	Sweetcorn, kernels, boiled in unsalted water	Sweetcorn, kernels, boiled in unsalted water	A0705 A0826 B1595 C0133 E0152 F0014 G0015 H0001 J0001 K0003 M0001 N0001 P0024 P0078	
13-459	Sweetcorn, kernels, canned, re-heated, drained	Sweetcorn, kernels, canned, re-heated, drained	A0705 A0826 B1595 C0133 E0152 F0014 G0037 H0001 J0123 K0011 M0204 N0001 P0024 Z0219	
13-368	Sweetcorn, kernels, raw	Sweetcorn, kernels, raw	A0705 A0826 B1595 C0133 E0152 F0003 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
13-373	Sweetcorn, on-the-cob, whole, boiled in salted water	Sweetcorn, on-the-cob, whole, boiled in salted water	A0705 A0826 B1595 C0242 E0150 F0014 G0015 H0001 J0001 K0003 M0001 N0001 P0024	
13-374	Sweetcorn, on-the-cob, whole, boiled in unsalted water	Sweetcorn, on-the-cob, whole, boiled in unsalted water	A0705 A0826 B1595 C0242 E0150 F0014 G0015 H0001 J0001 K0003 M0001 N0001 P0024 P0078	
13-372	Sweetcorn, on-the-cob, whole, raw	Sweetcorn, on-the-cob, whole, raw	A0705 A0826 B1595 C0242 E0150 F0003 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
11-648	Swiss roll	Swiss roll		
11-533	Swiss roll, chocolate, individual	Swiss roll, chocolate, individual	A0695 A0821 B1201 C0235 E0105 F0014 G0003 H0136 H0186 H0221 H0231 H0319 H0351 H0355 J0001 K0003 M0001 N0001 P0024 R0001	
13-117	Sword beans, raw	Sword beans, raw		
16-222	Swordfish, grilled	Swordfish, grilled	A0717 A0802 B1427 C0268 E0122 F0014 G0006 H0003 J0001 K0003 M0001 N0001 P0024	
16-223	Swordfish, grilled, weighed with bones and skin	Swordfish, grilled, weighed with bones and skin		
16-221	Swordfish, raw	Swordfish, raw	A0717 A0802 B1427 C0268 E0122 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
17-064	Syrup, corn, dark	Syrup, corn, dark		
17-065	Syrup, golden	Syrup, golden	A0697 A0836 B1012 C0271 E0139 F0014 G0003 H0277 J0001 K0003 M0001 N0001 P0024 R0001	
17-066	Syrup, golden, pouring	Syrup, golden, pouring		
17-067	Syrup, maple	Syrup, maple	A0697 A0836 B1167 C0271 E0139 F0014 G0003 H0001 J0001 K0003 M0001 N0001 P0024 R0001	
16-335	Szechuan prawns with vegetables, takeaway	Szechuan prawns with vegetables, takeaway	A0717 A0804 B1237 C0175 E0110 F0014 G0001 H0151 H0212 J0001 K0003 M0001 N0001 P0024 R0001 Z0119	
15-604	Tabouleh	Tabouleh		
19-279	Tagliatelle with ham, mushroom and cheese, chilled/frozen/longlife, reheated	Tagliatelle with ham, mushroom and cheese, chilled/frozen/longlife, reheated		
15-317	Tagliatelle, with vegetables, retail	Tagliatelle, with vegetables, retail	A0705 A0822 B1312 C0155 E0134 F0014 G0037 H0151 H0212 H0297 J0001 K0003 M0001 N0001 P0024 R0001 Z0112	
14-847	Tahini paste	Tahini paste	A0703 A0824 B1226 C0155 E0136 F0014 G0010 H0138 J0116 K0003 M0001 N0001 P0024	
14-264	Tamarillos	Tamarillos		
14-265	Tamarind	Tamarind		
13-855	Tamarind leaves, fresh	Tamarind leaves, fresh		
13-856	Tamarind pulp	Tamarind pulp		
14-266	Tangerines	Tangerines	A0707 A0833 B1429 C0229 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
14-267	Tangerines, weighed with peel and pips	Tangerines, weighed with peel and pips	A0707 A0833 B1429 C0229 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
13-375	Tannia, raw	Tannia, raw		
11-027	Tapioca, raw	Tapioca, raw		
16-307	Taramasalata	Taramasalata	A0717 A0803 B1017 C0307 E0119 F0001 G0003 H0117 H0153 H0306 J0001 K0001 M0001 N0001 P0024 R0001	
13-380	Taro leaves, raw	Taro leaves, raw		
13-381	Taro leaves, steamed	Taro leaves, steamed		
13-377	Taro, baked	Taro, baked		
13-378	Taro, boiled in unsalted water	Taro, boiled in unsalted water		
13-376	Taro, raw	Taro, raw		
13-379	Taro, steamed	Taro, steamed		
13-858	Tarragon, dried, ground	Tarragon, dried, ground		
13-857	Tarragon, fresh	Tarragon, fresh		
17-337	Tartare sauce	Tartare sauce	A0722 A0858 B1017 C0190 E0135 F0014 G0003 H0136 H0186 H0200 H0212 H0227 J0001 K0003 M0001 N0001 P0024	
12-894	Tea whitener powder	Tea whitener powder		
17-165	Tea, black, infusion, average	Tea, black, infusion, average	A0710 A0845 B1623 C0200 E0123 F0014 G0036 H0138 H0252 J0001 K0003 M0001 N0001 P0024	
17-167	Tea, black, infusion, strong	Tea, black, infusion, strong	A0710 A0845 B1623 C0200 E0123 F0014 G0036 H0138 H0252 J0001 K0003 M0001 N0001 P0024	
17-166	Tea, black, infusion, weak	Tea, black, infusion, weak	A0710 A0845 B1623 C0200 E0123 F0014 G0036 H0138 H0252 J0001 K0003 M0001 N0001 P0024	
17-170	Tea, Chinese, leaves, infusion	Tea, Chinese, leaves, infusion	A0710 A0845 B1623 C0200 E0123 F0014 G0036 H0138 H0252 J0001 K0003 M0001 N0001 P0024	
17-171	Tea, green, infusion	Tea, green, infusion	A0710 A0845 B1623 C0200 E0123 F0014 G0036 H0138 H0252 J0001 K0003 M0001 N0001 P0024	
17-172	Tea, herbal, infusion	Tea, herbal, infusion	A0710 A0845 B1179 C0200 E0123 F0014 G0036 H0138 H0252 J0001 K0003 M0001 N0001 P0024	
17-169	Tea, infusion, average, with semi-skimmed milk	Tea, infusion, average, with semi-skimmed milk	A0710 A0845 B1623 C0200 E0123 F0014 G0036 H0138 H0184 H0252 J0001 K0003 M0001 N0001 P0024	
17-168	Tea, infusion, average, with whole milk	Tea, infusion, average, with whole milk	A0710 A0845 B1623 C0200 E0123 F0014 G0036 H0138 H0184 H0252 J0001 K0003 M0001 N0001 P0024	
17-173	Tea, lemon, instant powder	Tea, lemon, instant powder		
17-174	Tea, lemon, instant powder, with water	Tea, lemon, instant powder, with water		
11-273	Teacakes, fresh	Teacakes, fresh		
11-545	Teacakes, toasted	Teacakes, toasted	A0691 A0821 B1312 C0132 E0105 F0014 G0010 H0184 H0186 H0221 H0364 H0751 J0001 K0003 M0001 N0001 P0024 R0001	
13-118	Tempeh	Tempeh		
15-605	Tempeh burgers, fried in vegetable oil	Tempeh burgers, fried in vegetable oil		
13-860	Thyme, dried, ground	Thyme, dried, ground	A0722 A0857 B1199 C0200 E0106 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024	
13-859	Thyme, fresh	Thyme, fresh		
14-848	Tigernuts	Tigernuts		
16-154	Tilapia, raw	Tilapia, raw		
12-343	Tip Top dessert topping	Tip Top dessert topping	A0721 A0863 B1201 C0235 E0144 F0001 G0003 H0158 H0263 H0279 J0001 K0003 M0001 N0001 P0024 R0001	
19-428	Toad in the hole	Toad in the hole		
19-429	Toad in the hole, made with skimmed milk and reduced fat sausages	Toad in the hole, made with skimmed milk and reduced fat sausages		
17-120	Toffees, mixed	Toffees, mixed	A0698 A0838 B1012 C0210 E0147 F0014 G0003 H0100 H0271 H0297 J0001 K0003 M0001 N0001 P0024 R0001	
15-606	Tofu burger, baked	Tofu burger, baked		
15-607	Tofu spread	Tofu spread		
13-121	Tofu, soya bean, fu juk	Tofu, soya bean, fu juk		
13-119	Tofu, soya bean, steamed	Tofu, soya bean, steamed	A0704 A0831 B1452 C0133 E0147 F0014 G0021 H0130 H0148 J0001 K0003 M0001 N0001 P0024	
13-120	Tofu, soya bean, steamed, fried	Tofu, soya bean, steamed, fried	A0704 A0831 B1452 C0133 E0147 F0014 G0021 G0024 H0130 H0148 J0001 K0003 M0001 N0001 P0024	
13-382	Tomato juice	Tomato juice	A0708 A0841 B1276 C0167 E0109 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
17-513	Tomato ketchup	Tomato ketchup	A0722 A0858 B1276 C0167 E0119 F0014 G0001 H0117 H0136 H0200 H0279 J0001 K0003 M0001 N0001 P0024 R0001	
17-516	Tomato puree	Tomato puree	A0722 A0827 B1276 C0167 E0119 F0014 G0001 H0001 J0001 K0003 M0001 N0001 P0024 R0001	
50-1173	Tomato sauce, homemade	Tomato sauce, homemade		
17-278	Tomato soup, cream of, canned	Tomato soup, cream of, canned	A0722 A0865 B1276 C0167 E0130 F0014 G0003 H0117 H0136 H0148 H0150 H0152 H0263 H0297 J0123 K0003 M0204 N0001 P0024	
17-279	Tomato soup, cream of, canned, condensed	Tomato soup, cream of, canned, condensed	A0722 A0865 B1276 C0167 E0130 F0014 G0003 H0117 H0136 H0148 H0150 H0152 H0263 H0297 J0123 K0003 M0204 N0001 P0024	
17-280	Tomato soup, cream of, canned, condensed, as served	Tomato soup, cream of, canned, condensed, as served	A0722 A0865 B1276 C0167 E0130 F0014 G0003 H0117 H0136 H0148 H0150 H0152 H0263 H0297 J0123 K0003 M0204 N0001 P0024	
17-281	Tomato soup, dried	Tomato soup, dried	A0722 A0865 B1276 C0167 E0136 F0022 G0003 H0138 H0152 H0227 J0116 K0003 M0118 N0001 P0024 Z0090	
